Authors,Article Title,Source Title,DOI,Publication Year,First Author Origin,Senior Author Origin,Sampled Focal Taxa Range,Sequencing Method,Study Focus,Comments
"Tiesmeyer, Annika; Ramos, Luana; Lucas, Jose Manuel; Steyer, Katharina; Alves, Paulo C.; Astaras, Christos; Brix, Mareike; Cragnolini, Margherita; Domokos, Csaba; Hegyeli, Zsolt; Janssen, Rene; Kitchener, Andrew C.; Lambinet, Clotilde; Mestdagh, Xavier; Migli, Despina; Monterroso, Pedro; Mulder, Jaap L.; Schockert, Vinciane; Youlatos, Dionisios; Pfenninger, Markus; Nowak, Carsten",Range-wide patterns of human-mediated hybridisation in European wildcats,CONSERVATION GENETICS,10.1007/s10592-019-01247-4,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,Hybridization focus. Mix of SNP array and Sanger sequencing
"Weise, Ellen M.; Sard, Nick M.; Nehfer, Andrew; Scribner, Kim T.",Adaptive genetic management: assessing the benefits of translocations,CONSERVATION GENETICS,10.1007/s10592-020-01249-7,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Weston, Michael A.; Clarke, Kylea; Maguire, Grainne S.; Sumner, Joanna",Morphological and molecular evidence of population divergence in a widespread shorebird across its southern mainland Australian distribution,CONSERVATION GENETICS,10.1007/s10592-020-01286-2,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Whitaker, Justine M.; Janosik, Alexis M.",Missing the mark(er): pseudogenes identified through whole mitochondrial genome sequencing provide new insight into invasive lionfish genetics.,CONSERVATION GENETICS,10.1007/s10592-020-01263-9,2020,Global North,Global North,Both (Shared Resident),Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,Sanger + complete mitogenomes. Some sampling in / near Bahamas
"White, Lauren C.; Thomson, Vicki A.; West, Rebecca; Ruykys, Laura; Ottewell, Kym; Kanowski, John; Moseby, Katherine E.; Byrne, Margaret; Donnellan, Stephen C.; Copley, Peter; Austin, Jeremy J.",Genetic monitoring of the greater stick-nest rat meta-population for strategic supplementation planning,CONSERVATION GENETICS,10.1007/s10592-020-01299-x,2020,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Wilder, Aryn P.; Navarro, Asako Y.; King, Shauna N. D.; Miller, William B.; Thomas, Steven M.; Steiner, Cynthia C.; Ryder, Oliver A.; Shier, Debra M.",Fitness costs associated with ancestry to isolated populations of an endangered species,CONSERVATION GENETICS,10.1007/s10592-020-01272-8,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Wolf, J. F.; Kriss, K. D.; MacAulay, K. M.; Shafer, A. B. A.",Panmictic population genetic structure of northern British Columbia mountain goats (Oreamnos americanus) has implications for harvest management,CONSERVATION GENETICS,10.1007/s10592-020-01274-6,2020,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Yonezawa, Satoru; Ushio, Masayuki; Yamanaka, Hiroki; Miya, Masaki; Takayanagi, Atsushi; Isagi, Yuji","Environmental DNA metabarcoding reveals the presence of a small, quick-moving, nocturnal water shrew in a forest stream",CONSERVATION GENETICS,10.1007/s10592-020-01310-5,2020,Global North,Global North,Global North,Reduced Representation,Identification / Sexing / Taxonomy / Systematics,
"Zapata, Danny; Rivera-Gutierrez, Hector F.; Parra, Juan Luis; Gonzalez-Quevedo, Catalina",Low adaptive and neutral genetic diversity in the endangered Antioquia wren (Thryophilus sernai),CONSERVATION GENETICS,10.1007/s10592-020-01313-2,2020,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Zhang, Cheng; Li, Shi-Qi; Zhang, Yu; Zhu, Zhang-Ming; Liu, Jian-Quan; Gao, Xin-Fen","Molecular and morphological evidence for hybrid origin and matroclinal inheritance of an endangered wild rose, Rosa x pseudobanksiae (Rosaceae) from China",CONSERVATION GENETICS,10.1007/s10592-019-01227-8,2020,Global South,Global South,Global South,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,Hybridization
"Abadia-Cardoso, A.; Hernandez-Guzman, R.; Varela-Romero, A.; Garza, J. C.; Garcia-De Leon, F. J.",Population genetics and species distribution modeling highlight conservation needs of the endemic trout from the Northern Sierra Madre Occidental,CONSERVATION GENETICS,10.1007/s10592-021-01388-5,2021,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Abeyrama, Dilini K.; Dempsey, Zach W.; Ryan, Peter G.; Burg, Theresa M.",Cryptic speciation and population differentiation in the yellow-nosed albatross species complex,CONSERVATION GENETICS,10.1007/s10592-021-01358-x,2021,Global North,Global North,Both (Shared Resident),Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,Indian Ocean and South Atlantic Islands—a little ambiguous
"Alminas, Ona S., V; Heffelfinger, James R.; Statham, Mark J.; Latch, Emily K.",Phylogeography of Cedros and Tiburon Island Mule Deer in North America's Desert Southwest,JOURNAL OF HEREDITY,10.1093/jhered/esab013,2021,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Barbosa, Soraia; Andrews, Kimberly R.; Goldberg, Amanda R.; Gour, Digpal S.; Hohenlohe, Paul A.; Conway, Courtney J.; Waits, Lisette P.",The role of neutral and adaptive genomic variation in population diversification and speciation in two ground squirrel species of conservation concern,MOLECULAR ECOLOGY,10.1111/mec.16096,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Bard, Nicholas W.; Miller, Christopher S.; Bruederle, Leo P.","High genomic diversity maintained by populations of Carex scirpoidea subsp. convoluta, a paraphyletic Great Lakes ecotype",CONSERVATION GENETICS,10.1007/s10592-020-01326-x,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Batter, Thomas J.; Bush, Joshua P.; Sacks, Benjamin N.",Assessing genetic diversity and connectivity in a tule elk (Cervus canadensis nannodes) metapopulation in Northern California,CONSERVATION GENETICS,10.1007/s10592-021-01371-0,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Beninde, Joscha; Keltsch, Florian; Veith, Michael; Hochkirch, Axel; Wagner, Norman",Connectivity of Alpine newt populations (Ichthyosaura alpestris) exacerbates the risk of Batrachochytrium salamandrivorans outbreaks in European fire salamanders (Salamandra salamandra),CONSERVATION GENETICS,10.1007/s10592-021-01377-8,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Betancourth-Cundar, Mileidy; Palacios-Rodriguez, Pablo; Mejia-Vargas, Daniel; Paz, Andrea; Amezquita, Adolfo","Genetic differentiation and overexploitation history of the critically endangered Lehmann's Poison Frog: Oophaga lehmanni (vol 21, pg 453, 2020)",CONSERVATION GENETICS,10.1007/s10592-021-01383-w,2021,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Camak, David T.; Osborne, Megan J.; Turner, Thomas F.",Population genomics and conservation of Gila Trout (Oncorhynchus gilae),CONSERVATION GENETICS,10.1007/s10592-021-01355-0,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Capblancq, Thibaut; Munson, Helena; Butnor, John R.; Keller, Stephen R.",Genomic drivers of early-life fitness in Picea rubens,CONSERVATION GENETICS,10.1007/s10592-021-01378-7,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Cassin-Sackett, Loren; Campana, Michael G.; McInerney, Nancy Rotzel; Lim, Haw Chuan; Przelomska, Natalia A. S.; Masuda, Bryce; Chesser, R. Terry; Paxton, Eben H.; Foster, Jeffrey T.; Crampton, Lisa H.; Fleischer, Robert C.",Genetic structure and population history in two critically endangered Kaua'i honeycreepers,CONSERVATION GENETICS,10.1007/s10592-021-01382-x,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Chavez-Cortazar, Angelica; Oyama, Ken; Ochoa-Zavala, Maried; Mata-Rosas, Martin; Veltjen, Emily; Samain, Marie-Stephanie; Quesada, Mauricio",Conservation genetics of relict tropical species of Magnolia (section Macrophylla),CONSERVATION GENETICS,10.1007/s10592-021-01334-5,2021,Global South,Global South,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Cheng, Samantha H.; Gold, Mark; Rodriguez, Nichole; Barber, Paul H.",Genome-wide SNPs reveal complex fine scale population structure in the California market squid fishery (Doryteuthis opalescens),CONSERVATION GENETICS,10.1007/s10592-020-01321-2,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Cocca, Walter; Zagar, Anamarija; Sillero, Neftali; Jowers, Michael J.; Krofel, Miha; Luznik, Martina; Podnar, Martina; Tvrtkovic, Nikola; Carretero, Miguel A.; Crottini, Angelica",Genetic diversity of Horvath's Rock Lizard meets current environmental restrictions,CONSERVATION GENETICS,10.1007/s10592-021-01351-4,2021,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Cooper, Robert D.; Shaffer, H. Bradley",Allele-specific expression and gene regulation help explain transgressive thermal tolerance in non-native hybrids of the endangered California tiger salamander (Ambystoma californiense),MOLECULAR ECOLOGY,10.1111/mec.15779,2021,Global North,Global North,Global North,Other,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,transcriptomics
"Corral-Lou, Andrea; Perea, Silvia; Doadrio, Ignacio","High genetic differentiation in the endemic and endangered freshwater fish Achondrostoma salmantinum Doadrio and Elvira, 2007 from Spain, as revealed by mitochondrial and SNP markers",CONSERVATION GENETICS,10.1007/s10592-021-01381-y,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Davis, Miracle M.; Smyser, Timothy J.; Johnson, Scott A.; Duchamp, Joseph; Larkin, Jeffery L.; Swihart, Robert K.; Doyle, Jacqueline M.",Reproductive success of captive-reared Allegheny Woodrats (Neotoma magister) released into genetically depauperate populations,CONSERVATION GENETICS,10.1007/s10592-021-01372-z,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,SNPs + microsatellites
"Davis, Skye; Brandis, Kate J.; Stow, Adam J.",Population genetics informs the management of a controversial Australian waterbird,CONSERVATION GENETICS,10.1007/s10592-021-01393-8,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"de Sousa, Joao Leno Pereira; de Araujo Bitencourt, Jamille; Sampaio, Iracilda; Schneider, Horacio; de Mello Affonso, Paulo Roberto Antunes",More than meets the eye: phylogeographic inferences and remarkable cryptic diversity and in endemic catfish Parotocinclus (Loricariidae: Hypoptopomatinae) from neglected and impacted basins in South America,CONSERVATION GENETICS,10.1007/s10592-021-01336-3,2021,Global South,Global South,Global South,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"DeMarco, Christopher; Cooper, Daniel S.; Torres, Elizabeth; Muchlinski, Alan; Aguilar, Andres",Effects of urbanization on population genetic structure of western gray squirrels,CONSERVATION GENETICS,10.1007/s10592-020-01318-x,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,also mtDNA
"Diaz-Martin, Zoe; Karubian, Jordan",Forest cover at landscape scales increases male and female gametic diversity of palm seedlings,MOLECULAR ECOLOGY,10.1111/mec.16060,2021,Both,Both,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Dickel, Lisa; Arcese, Peter; Nietlisbach, Pirmin; Keller, Lukas F.; Jensen, Henrik; Reid, Jane M.",Are immigrants outbred and unrelated? Testing standard assumptions in a wild metapopulation,MOLECULAR ECOLOGY,10.1111/mec.16173,2021,Global North,Global North,Global North,Microsatellites,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Eaton, Kendra R.; Tardy, Kurt A.; Narum, Shawn R.; Powell, John H.; Steele, Craig A.",Discovery of out-of-basin introgression in Pettit Lake Sockeye Salmon: management implications for native genetics,CONSERVATION GENETICS,10.1007/s10592-021-01386-7,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Fernandez de Larrea, Inaki; Sanchez-Montes, Gregorio; Gutierrez-Rodriguez, Jorge; Martinez-Solano, Inigo",Reconciling direct and indirect estimates of functional connectivity in a Mediterranean pond-breeding amphibian,CONSERVATION GENETICS,10.1007/s10592-021-01345-2,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Fong, Daniel W.; Orndorff, William; Carlini, David B.","Species status evaluation of Lirceus usdagalan, L. culveri, and L. hargeri populations (Isopoda; Asellidae) based on a large scale next-generation sequence data set",CONSERVATION GENETICS,10.1007/s10592-021-01387-6,2021,Global North,Global North,Global North,Reduced Representation,Identification / Sexing / Taxonomy / Systematics,
"Francois, Donatien; Ursenbacher, Sylvain; Boissinot, Alexandre; Ysnel, Frederic; Lourdais, Olivier",Isolation-by-distance and male-biased dispersal at a fine spatial scale: a study of the common European adder (Vipera berus) in a rural landscape,CONSERVATION GENETICS,10.1007/s10592-021-01365-y,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"French, Rowan L. K.; Bell, Aaron J.; Calladine, Kiara S.; Acorn, John H.; Sperling, Felix A. H.",Genomic distinctness despite shared color patterns among threatened populations of a tiger beetle,CONSERVATION GENETICS,10.1007/s10592-021-01370-1,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,ESU focus. Also sequenced COI
"Gajdarova, Barbora; Belotti, Elisa; Bufka, Ludek; Dul'a, Martin; Kleven, Oddmund; Kutal, Miroslav; Ozolins, Janis; Nowak, Carsten; Reiners, Tobias E.; Tam, Branislav; Volfova, Josefa; Krojerova-Prokesova, Jarmila",Long-distance Eurasian lynx dispersal - a prospect for connecting native and reintroduced populations in Central Europe,CONSERVATION GENETICS,10.1007/s10592-021-01363-0,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Gallego-Garcia, Natalia; Caballero, Susana; Shaffer, H. Bradley",Are Genomic Updates of Well-Studied Species Worth the Investment for Conservation? A Case Study of the Critically Endangered Magdalena River Turtle,JOURNAL OF HEREDITY,10.1093/jhered/esab063,2021,Both,Global North,Global South,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,"I added the ""both"" category to the author comment because this person has dual affilitation; the paper compares RADseq with marker data previously available"
"Garrison, Nicole L.; Johnson, Paul D.; Whelan, Nathan, V","Conservation genomics reveals low genetic diversity and multiple parentage in the threatened freshwater mussel, Margaritifera hembeli",CONSERVATION GENETICS,10.1007/s10592-020-01329-8,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Golden, Heidi E.; Holsinger, Kent E.; Deegan, Linda A.; MacKenzie, Cameron J. A.; Urban, Mark C.",River drying influences genetic variation and population structure in an Arctic freshwater fish,CONSERVATION GENETICS,10.1007/s10592-021-01339-0,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hantzschmann, Alena Marcella; Sinsch, Ulrich; Goettlicher, Christa; Proehl, Heike",Conservation genetics of yellow-bellied toads (Bombina variegata): a matter of geographical scale and isolation,CONSERVATION GENETICS,10.1007/s10592-020-01320-3,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hardouin, Emilie A.; Butler, Helen; Cvitanovic, Marin; Ulrich, Rainer G.; Schulze, Vanessa; Schilling, Anna-Katarina; Lurz, Peter W. W.; Meredith, Anna; Hodder, Kathy H.",Wildlife conservation in a fragmented landscape: the Eurasian red squirrel on the Isle of Wight,CONSERVATION GENETICS,10.1007/s10592-021-01380-z,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hauser, Samantha S.; Leberg, Paul L.",Riparian areas potentially provide crucial corridors through fragmented landscape for black-capped vireo (Vireo atricapilla) source-sink system,CONSERVATION GENETICS,10.1007/s10592-020-01314-1,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hernandez Rodriguez, Majela; Teste, Ernesto; Veltjen, Emily; Quintana Delgado, Jhonny; Palmarola Bejerano, Alejandro; Valdes de la Cruz, Marlyn; Asselman, Pieter; Larridon, Isabel; Samain, Marie-Stephanie; Gonzalez Torres, Luis Roberto",Effect of the landscape on functional and spatial connectivity in Magnolia cubensis (Magnoliaceae) in two mountain massifs of Cuba,CONSERVATION GENETICS,10.1007/s10592-021-01395-6,2021,Global South,Global North,Global South,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hervey, Samuel D.; Rutledge, Linda Y.; Patterson, Brent R.; Romanski, Mark C.; Vucetich, John A.; Belant, Jerrold L.; Beyer, Dean E., Jr.; Moore, Seth A.; Brzeski, Kristin E.",A first genetic assessment of the newly introduced Isle Royale gray wolves (Canis lupus),CONSERVATION GENETICS,10.1007/s10592-021-01373-y,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Hobbs, Christopher S.; Vega, Rodrigo; Rahman, Farzana; Horsburgh, Gavin J.; Dawson, Deborah A.; Harvey, Christopher D.",Population genetics and geometric morphometrics of the freshwater snail Segmentina nitida reveal cryptic sympatric species of conservation value in Europe,CONSERVATION GENETICS,10.1007/s10592-021-01369-8,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,also mtDNA (COI)
"Iannucci, Alessio; Benazzo, Andrea; Natali, Chiara; Arida, Evy Ayu; Zein, Moch Samsul Arifin; Jessop, Tim S.; Bertorelle, Giorgio; Ciofi, Claudio","Population structure, genomic diversity and demographic history of Komodo dragons inferred from whole-genome sequencing",MOLECULAR ECOLOGY,10.1111/mec.16121,2021,Global North,Global North,Global South,WGS,Population Structure / Gene Flow / Diversity / Demographic History,
"Janecka, Mary J.; Janecka, Jan E.; Haines, Aaron M.; Michaels, Alexa; Criscione, Charles D.",Post-delisting genetic monitoring reveals population subdivision along river and reservoir localities of the endemic Concho water snake (Nerodia harteri paucimaculata),CONSERVATION GENETICS,10.1007/s10592-021-01391-w,2021,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,M13 method
"Johnson, Marc A.; Friesen, Thomas A.; VanDoornik, Donald M.; Teel, David J.; Myers, James M.","Genetic interactions among native and introduced stocks of Oncorhynchus mykiss in the upper Willamette River, Oregon",CONSERVATION GENETICS,10.1007/s10592-020-01322-1,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,Identifying composition of fishery stocks
"Jones, Matthew R.; Winkler, Daniel E.; Massatti, Rob",Demographic modeling informs functional connectivity and management interventions in Graham's beardtongue,CONSERVATION GENETICS,10.1007/s10592-021-01392-9,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Kazyak, David C.; White, Shannon L.; Lubinski, Barbara A.; Johnson, Robin; Eackles, Michael",Stock composition of Atlantic sturgeon (Acipenser oxyrinchus oxyrinchus) encountered in marine and estuarine environments on the US Atlantic Coast,CONSERVATION GENETICS,10.1007/s10592-021-01361-2,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Kelly, Ella; Jolly, Chris J.; Indigo, Naomi; Smart, Adam; Webb, Jonathan; Phillips, Ben",No outbreeding depression in a trial of targeted gene flow in an endangered Australian marsupial,CONSERVATION GENETICS,10.1007/s10592-020-01316-z,2021,Global North,Global North,Global North,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,
"Kikuchi, Ai; Kyan, Ryuta; Maki, Masayuki",Population genetic diversity and conservation priority of prince's pine Chimaphila umbellata populations around the south margin of their distribution,CONSERVATION GENETICS,10.1007/s10592-021-01366-x,2021,Global North,Global North,Global North,Other,Population Structure / Gene Flow / Diversity / Demographic History,Population of panboreal species in Japan. SSRs
"Koop, Jennifer A. H.; Causton, Charlotte E.; Bulgarella, Mariana; Cooper, Elizabeth; Heimpel, George E.",Population structure of a nest parasite of Darwin's finches within its native and invasive ranges,CONSERVATION GENETICS,10.1007/s10592-020-01315-0,2021,Global North,Global North,Global South,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,also Sanger sequencing
"Korablev, Miroslav P.; Poyarkov, Andrey D.; Karnaukhov, Alexander S.; Zvychaynaya, Elena Yu.; Kuksin, Alexander N.; Malykh, Sergey V.; Istomov, Sergey V.; Spitsyn, Sergey V.; Aleksandrov, Dmitry Yu.; Hernandez-Blanco, Jose A.; Munkhtsog, Bariushaa; Munkhtogtokh, Ochirjav; Putintsev, Nikolay I.; Vereshchagin, Alexander S.; Becmurody, Atobek; Afzunov, Shodi; Rozhnov, Viatcheslav V.","Large-scale and fine-grain population structure and genetic diversity of snow leopards (Panthera uncia Schreber, 1776) from the northern and western parts of the range with an emphasis on the Russian population",CONSERVATION GENETICS,10.1007/s10592-021-01347-0,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,Russia
"Kunz, Florian; Kohnen, Annette; Nopp-Mayr, Ursula; Coppes, Joy","Past, present, future: tracking and simulating genetic differentiation over time in a closed metapopulation system",CONSERVATION GENETICS,10.1007/s10592-021-01342-5,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Lehmair, Theresa Anna; Pagel, Ellen; Poschlod, Peter; Reisch, Christoph","Genetic variation of litter meadow species reflects gene flow by hay transfer and mowing with agricultural machines (vol 21, pg 879, 2020)",CONSERVATION GENETICS,10.1007/s10592-021-01389-4,2021,Global North,Global North,Global North,Other,Population Structure / Gene Flow / Diversity / Demographic History,AFLPs
"Lin, Kung-Ping; Chaw, Shu-Miaw; Lo, Yun-Hwa; Kinjo, Teruo; Tung, Chien-Yi; Cheng, Hsi-Chi; Liu, Quintin; Satta, Yoko; Izawa, Masako; Chen, Shiang-Fan; Ko, Wen-Ya",Genetic Differentiation and Demographic Trajectory of the Insular Formosan and Orii's Flying Foxes,JOURNAL OF HEREDITY,10.1093/jhered/esab007,2021,Global South,Global South,Both (Shared Resident),Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,China-Taiwan
"Majeed, Aasim; Singh, Amandeep; Bhardwaj, Pankaj","Transcribing molecular and climatic data into conservation management for the Himalayan endangered species, Taxus contorta (Griff.)",CONSERVATION GENETICS,10.1007/s10592-020-01319-w,2021,Global South,Global South,Global South,Other,Population Structure / Gene Flow / Diversity / Demographic History,SSRs
"Miettinen, Antti; Palm, Stefan; Dannewitz, Johan; Lind, Emma; Primmer, Craig R.; Romakkaniemi, Atso; Ostergren, Johan; Pritchard, Victoria L.","A large wild salmon stock shows genetic and life history differentiation within, but not between, rivers",CONSERVATION GENETICS,10.1007/s10592-020-01317-y,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Morris, Ashley B.; Trostel, Kevin; Scalf, Cassandra; Burleyson, Austin; Call, Geoff; Albrecht, Matthew A.","Genetic variation and structure in natural and reintroduced populations of the endangered legume, Pyne's ground plum (Astragalus bibullatus)",CONSERVATION GENETICS,10.1007/s10592-021-01346-1,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Narita, Ayu; Nakahama, Naoyuki; Izuno, Ayako; Hayama, Kayo; Komaki, Yoshiteru; Tanaka, Takefumi; Murata, Jin; Isagi, Yuji","Conservation genetics of critically endangered Crepidiastrum grandicollum (Asteraceae) and two closely related woody species of the Bonin Islands, Japan",CONSERVATION GENETICS,10.1007/s10592-021-01353-2,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Nelson, Holly V.; Frankham, Greta J.; Leo, Viyanna; Anson, Jennifer R.; Eldridge, Mark D. B.; de Bruyn, Mark","Conservation genomics of the 'Endangered' long-nosed bandicoot (Perameles nasuta) population at North Head, Sydney, Australia",CONSERVATION GENETICS,10.1007/s10592-021-01356-z,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Nice, Chris C.; Fordyce, James A.; Sotola, V. Alex; Crow, Justin; Diaz, Peter H.","Geographic patterns of genomic variation in the threatened Salado salamander, Eurycea chisholmensis Population genetics of the Salado salamander",CONSERVATION GENETICS,10.1007/s10592-021-01364-z,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"O'Hare, Jessica A.; Momigliano, Paolo; Raftos, David A.; Stow, Adam J.",Genetic structure and effective population size of Sydney rock oysters in eastern Australia,CONSERVATION GENETICS,10.1007/s10592-021-01343-4,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Osborne, Megan J.; Hatt, Joanna L.; Gilbert, Eliza I.; Davenport, Stephen R.","Still time for action: genetic conservation of imperiled South Canadian River fishes, Arkansas River Shiner (Notropis girardi), Peppered Chub (Macrhybopsis tetranema) and Plains Minnow (Hybognathus placitus)",CONSERVATION GENETICS,10.1007/s10592-021-01374-x,2021,Global North,Global North,Global North,Sanger Sequencing,Population Structure / Gene Flow / Diversity / Demographic History,
"Osborne, Megan J.; Portnoy, David S.; Fields, Andrew T.; Bean, Megan G.; Hoagstrom, Christopher W.; Conway, Kevin W.","Under the radar: genetic assessment of Rio Grande Shiner (Notropis jemezanus) and Speckled Chub (Macrhybopsis aestivalis), two Rio Grande basin endemic cyprinids that have experienced recent range contractions",CONSERVATION GENETICS,10.1007/s10592-020-01328-9,2021,Global North,Global North,Global North,Reduced Representation,Selection / GWAS / Runs of Homozygosity / Adaptive Potential / Gene Expression,Also microsatellites and mtDNA
"Oyundelger, Khurelpurev; Herklotz, Veit; Harpke, Doerte; Oyuntsetseg, Batlai; Wesche, Karsten; Ritz, Christiane M.",Contrasting effects of local environment and grazing pressure on the genetic diversity and structure of Artemisia frigida,CONSERVATION GENETICS,10.1007/s10592-021-01375-w,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Prohl, Heike; Auffarth, Jana; Bergmann, Tjard; Buschmann, Holger; Balkenhol, Niko","Conservation genetics of the yellow-bellied toad (Bombina variegata): population structure, genetic diversity and landscape effects in an endangered amphibian",CONSERVATION GENETICS,10.1007/s10592-021-01350-5,2021,Global North,Global North,Global North,Microsatellites,Population Structure / Gene Flow / Diversity / Demographic History,
"Robinson, Natasha M.; Rhoades, Chloe; Pierson, Jennifer; Lindenmayer, David B.; Banks, Sam C.",Prioritising source populations for supplementing genetic diversity of reintroduced southern brown bandicoots Isoodon obesulus obesulus,CONSERVATION GENETICS,10.1007/s10592-021-01341-6,2021,Global North,Global North,Global North,Reduced Representation,Population Structure / Gene Flow / Diversity / Demographic History,
"Ryder, Oliver A.; Thomas, Steven; Judson, Jessica Martin; Romanov, Michael N.; Dandekar, Sugandha; Papp, Jeanette C.; Sidak-Loftis, Lindsay C.; Walker, Kelli; Stalis, Ilse H.; Mace, Michael; Steiner, Cynthia C.; Chemnick, Leona G.",Facultative Parthenogenesis in California Condors,JOURNAL OF HEREDITY,10.1093/jhered/esab052,2021,Global North,Global North,Global North,Microsatellites,Identification / Sexing / Taxonomy / Systematics,other - simply a description of the occurrence of parthenogenesis
